run_seed,variant_name,layer_index,probe_name,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
7,pretrained,0,query_only,64,642,0.5,0.5,0.5
7,pretrained,0,exact,64,49282,0.6583333333333333,0.3888888888888889,0.6111111111111112
7,pretrained,0,pairwise,64,401730,0.8266666666666667,0.5347222222222222,0.5347222222222222
7,pretrained,0,triadic,75,403502,0.9358333333333333,0.4097222222222222,0.5902777777777778
7,pretrained,1,query_only,64,642,0.5,0.5,0.5
7,pretrained,1,exact,64,49282,0.7933333333333333,0.5763888888888888,0.5763888888888888
7,pretrained,1,pairwise,64,401730,0.9391666666666667,0.5069444444444444,0.5069444444444444
7,pretrained,1,triadic,75,403502,0.9775,0.4444444444444444,0.5555555555555556
7,pretrained,2,query_only,64,642,0.5,0.5,0.5
7,pretrained,2,exact,64,49282,0.8258333333333333,0.6319444444444444,0.6319444444444444
7,pretrained,2,pairwise,64,401730,0.965,0.6111111111111112,0.6111111111111112
7,pretrained,2,triadic,75,403502,0.9766666666666667,0.5208333333333334,0.5208333333333334
7,pretrained,3,query_only,64,642,0.5,0.5,0.5
7,pretrained,3,exact,64,49282,0.8708333333333333,0.5833333333333334,0.5833333333333334
7,pretrained,3,pairwise,64,401730,0.9925,0.5972222222222222,0.5972222222222222
7,pretrained,3,triadic,75,403502,0.9866666666666667,0.5,0.5
7,pretrained,4,query_only,64,642,0.5,0.5,0.5
7,pretrained,4,exact,64,49282,0.945,0.6527777777777778,0.6527777777777778
7,pretrained,4,pairwise,64,401730,0.9983333333333333,0.6041666666666666,0.6041666666666666
7,pretrained,4,triadic,75,403502,0.9908333333333333,0.5208333333333334,0.5208333333333334
7,pretrained,5,query_only,64,642,0.5,0.5,0.5
7,pretrained,5,exact,64,49282,0.9316666666666666,0.6111111111111112,0.6111111111111112
7,pretrained,5,pairwise,64,401730,0.9975,0.5902777777777778,0.5902777777777778
7,pretrained,5,triadic,75,403502,0.9766666666666667,0.5416666666666666,0.5416666666666666
7,pretrained,6,query_only,64,642,0.5,0.5,0.5
7,pretrained,6,exact,64,49282,0.9475,0.5625,0.5625
7,pretrained,6,pairwise,64,401730,0.9833333333333333,0.5763888888888888,0.5763888888888888
7,pretrained,6,triadic,75,403502,0.9916666666666667,0.4722222222222222,0.5277777777777778
7,pretrained,7,query_only,64,642,0.5,0.5,0.5
7,pretrained,7,exact,64,49282,0.96,0.5486111111111112,0.5486111111111112
7,pretrained,7,pairwise,64,401730,0.9858333333333333,0.5833333333333334,0.5833333333333334
7,pretrained,7,triadic,75,403502,0.9958333333333333,0.4722222222222222,0.5277777777777778
7,pretrained,8,query_only,64,642,0.5,0.5,0.5
7,pretrained,8,exact,64,49282,0.9808333333333333,0.6041666666666666,0.6041666666666666
7,pretrained,8,pairwise,64,401730,0.9875,0.5833333333333334,0.5833333333333334
7,pretrained,8,triadic,75,403502,0.995,0.5208333333333334,0.5208333333333334
7,pretrained,9,query_only,64,642,0.5,0.5,0.5
7,pretrained,9,exact,64,49282,0.9916666666666667,0.5972222222222222,0.5972222222222222
7,pretrained,9,pairwise,64,401730,1.0,0.5902777777777778,0.5902777777777778
7,pretrained,9,triadic,75,403502,0.9925,0.5208333333333334,0.5208333333333334
7,pretrained,10,query_only,64,642,0.5,0.5,0.5
7,pretrained,10,exact,64,49282,0.9875,0.5902777777777778,0.5902777777777778
7,pretrained,10,pairwise,64,401730,1.0,0.5833333333333334,0.5833333333333334
7,pretrained,10,triadic,75,403502,0.9958333333333333,0.5486111111111112,0.5486111111111112
7,pretrained,11,query_only,64,642,0.5,0.5,0.5
7,pretrained,11,exact,64,49282,0.9783333333333334,0.5972222222222222,0.5972222222222222
7,pretrained,11,pairwise,64,401730,1.0,0.5763888888888888,0.5763888888888888
7,pretrained,11,triadic,75,403502,0.9941666666666666,0.5347222222222222,0.5347222222222222
7,pretrained,12,query_only,64,642,0.5,0.5,0.5
7,pretrained,12,exact,64,49282,0.9558333333333333,0.5833333333333334,0.5833333333333334
7,pretrained,12,pairwise,64,401730,1.0,0.5486111111111112,0.5486111111111112
7,pretrained,12,triadic,75,403502,0.9925,0.4722222222222222,0.5277777777777778
7,random_control,0,query_only,64,642,0.5,0.5,0.5
7,random_control,0,exact,64,49282,0.6616666666666666,0.3888888888888889,0.6111111111111112
7,random_control,0,pairwise,64,401730,0.885,0.4722222222222222,0.5277777777777778
7,random_control,0,triadic,75,403502,0.9558333333333333,0.4166666666666667,0.5833333333333333
7,random_control,1,query_only,64,642,0.5,0.5,0.5
7,random_control,1,exact,64,49282,0.6716666666666666,0.4305555555555556,0.5694444444444444
7,random_control,1,pairwise,64,401730,0.9016666666666666,0.4513888888888889,0.5486111111111112
7,random_control,1,triadic,75,403502,0.9633333333333334,0.4444444444444444,0.5555555555555556
7,random_control,2,query_only,64,642,0.5,0.5,0.5
7,random_control,2,exact,64,49282,0.6741666666666667,0.4305555555555556,0.5694444444444444
7,random_control,2,pairwise,64,401730,0.9266666666666666,0.4652777777777778,0.5347222222222222
7,random_control,2,triadic,75,403502,0.9625,0.4305555555555556,0.5694444444444444
7,random_control,3,query_only,64,642,0.5,0.5,0.5
7,random_control,3,exact,64,49282,0.6775,0.4305555555555556,0.5694444444444444
7,random_control,3,pairwise,64,401730,0.9858333333333333,0.4652777777777778,0.5347222222222222
7,random_control,3,triadic,75,403502,0.985,0.4513888888888889,0.5486111111111112
7,random_control,4,query_only,64,642,0.5,0.5,0.5
7,random_control,4,exact,64,49282,0.695,0.4375,0.5625
7,random_control,4,pairwise,64,401730,0.9925,0.4583333333333333,0.5416666666666667
7,random_control,4,triadic,75,403502,0.9833333333333333,0.4513888888888889,0.5486111111111112
7,random_control,5,query_only,64,642,0.5,0.5,0.5
7,random_control,5,exact,64,49282,0.695,0.5,0.5
7,random_control,5,pairwise,64,401730,1.0,0.4722222222222222,0.5277777777777778
7,random_control,5,triadic,75,403502,0.9833333333333333,0.4375,0.5625
7,random_control,6,query_only,64,642,0.5,0.5,0.5
7,random_control,6,exact,64,49282,0.7041666666666667,0.4375,0.5625
7,random_control,6,pairwise,64,401730,1.0,0.4513888888888889,0.5486111111111112
7,random_control,6,triadic,75,403502,1.0,0.3819444444444444,0.6180555555555556
7,random_control,7,query_only,64,642,0.5,0.5,0.5
7,random_control,7,exact,64,49282,0.725,0.4305555555555556,0.5694444444444444
7,random_control,7,pairwise,64,401730,1.0,0.4027777777777778,0.5972222222222222
7,random_control,7,triadic,75,403502,1.0,0.4166666666666667,0.5833333333333333
7,random_control,8,query_only,64,642,0.5,0.5,0.5
7,random_control,8,exact,64,49282,0.7316666666666667,0.4375,0.5625
7,random_control,8,pairwise,64,401730,1.0,0.375,0.625
7,random_control,8,triadic,75,403502,1.0,0.3611111111111111,0.6388888888888888
7,random_control,9,query_only,64,642,0.5,0.5,0.5
7,random_control,9,exact,64,49282,0.7633333333333333,0.4444444444444444,0.5555555555555556
7,random_control,9,pairwise,64,401730,1.0,0.3819444444444444,0.6180555555555556
7,random_control,9,triadic,75,403502,1.0,0.4375,0.5625
7,random_control,10,query_only,64,642,0.5,0.5,0.5
7,random_control,10,exact,64,49282,0.795,0.5,0.5
7,random_control,10,pairwise,64,401730,1.0,0.4166666666666667,0.5833333333333333
7,random_control,10,triadic,75,403502,1.0,0.4236111111111111,0.5763888888888888
7,random_control,11,query_only,64,642,0.5,0.5,0.5
7,random_control,11,exact,64,49282,0.8141666666666667,0.4652777777777778,0.5347222222222222
7,random_control,11,pairwise,64,401730,1.0,0.375,0.625
7,random_control,11,triadic,75,403502,1.0,0.3611111111111111,0.6388888888888888
7,random_control,12,query_only,64,642,0.5,0.5,0.5
7,random_control,12,exact,64,49282,0.835,0.4861111111111111,0.5138888888888888
7,random_control,12,pairwise,64,401730,1.0,0.4027777777777778,0.5972222222222222
7,random_control,12,triadic,75,403502,1.0,0.3958333333333333,0.6041666666666667
