run_seed,variant_name,layer_index,probe_name,exactness_mean,curl_energy_mean,exactness_positional_mean,curl_energy_positional_mean
17,pretrained,9,pairwise,0.9802407353288598,0.059277792414326944,0.9819000441994932,0.054299859040232455
17,pretrained,10,exact,1.0,6.617034756588944e-16,1.0,1.8249418713373453e-15
17,pretrained,10,pairwise,0.981418756975068,0.0557437331452901,0.9818822911216153,0.05435311255455923
17,pretrained,11,exact,1.0,6.499876242985121e-16,1.0,1.7618806889896498e-15
17,pretrained,11,pairwise,0.9742188610964351,0.07734340676446057,0.9785813974837462,0.06425580928043928
17,pretrained,12,exact,1.0,8.077499418084458e-16,1.0,1.8013447892708284e-15
17,pretrained,12,pairwise,0.951155214673943,0.14653435652629318,0.9602985411054559,0.11910437941211664
17,random_control,0,exact,1.0,7.687540331066888e-16,1.0,1.8869223065540653e-15
17,random_control,0,pairwise,0.9494092207815912,0.15177233374884558,0.9091952360338635,0.27241429647741217
17,random_control,1,exact,1.0,7.631247315485756e-16,1.0,2.1272713206743133e-15
17,random_control,1,pairwise,0.9298826671308942,0.21035199159167758,0.8875966514978144,0.3372100444070788
17,random_control,2,exact,1.0,6.975604596758996e-16,1.0,2.2296923020777536e-15
17,random_control,2,pairwise,0.9422960484193431,0.17311185389472586,0.884836291273435,0.3454911199999818
17,random_control,3,exact,1.0,7.67890026321356e-16,1.0,2.0906311385361384e-15
17,random_control,3,pairwise,0.9525497750275664,0.14235068299523038,0.9508878149920039,0.14733656279794458
17,random_control,4,exact,1.0,7.182006464117747e-16,1.0,2.0950557537348286e-15
17,random_control,4,pairwise,0.9458646488686403,0.1624060563254817,0.9328628364536498,0.2014114922623978
17,random_control,5,exact,1.0,6.866139879250095e-16,1.0,2.026578868818423e-15
17,random_control,5,pairwise,0.9286598306563165,0.214020519612758,0.9110252911018001,0.26692413435214096
17,random_control,6,exact,1.0,7.421526129493146e-16,1.0,1.984985998275597e-15
17,random_control,6,pairwise,0.939142612947358,0.1825721629558959,0.9211202772955099,0.23663917211686364
17,random_control,7,exact,1.0,7.268423840670329e-16,1.0,2.2061950912249455e-15
17,random_control,7,pairwise,0.9449578171802892,0.16512653533411342,0.9422731010450257,0.1731806963184176
17,random_control,8,exact,1.0,7.321260643821673e-16,1.0,2.069651583858898e-15
17,random_control,8,pairwise,0.9568966126276387,0.12931017024837071,0.9644925085206827,0.10652247006590995
17,random_control,9,exact,1.0,7.046673945859754e-16,1.0,2.0070055123592623e-15
17,random_control,9,pairwise,0.9239504502879249,0.2281486495048739,0.9163266904652119,0.2510199290376881
17,random_control,10,exact,1.0,6.515113565179211e-16,1.0,1.7015587964879416e-15
17,random_control,10,pairwise,0.943278024593989,0.17016592331250044,0.9350088872015476,0.19497333815282522
17,random_control,11,exact,1.0,6.429740165925015e-16,1.0,1.845618745555384e-15
17,random_control,11,pairwise,0.9442549550698863,0.16723513306108848,0.9416489257580705,0.17505323504964407
17,random_control,12,exact,1.0,6.328328631624835e-16,1.0,1.6138996586056086e-15
17,random_control,12,pairwise,0.9577294149332576,0.12681175355505225,0.9491980067557759,0.15240598844239786
19,pretrained,0,exact,1.0,8.648081608513734e-16,1.0,1.7658130637112425e-15
19,pretrained,0,pairwise,0.8810784626338217,0.3567646118463017,0.9001176949176524,0.2996469276000021
19,pretrained,1,exact,1.0,7.906534087649124e-16,1.0,1.874697507219176e-15
19,pretrained,1,pairwise,0.8938087721665701,0.3185736848956569,0.8945121889313062,0.31646343571386143
19,pretrained,2,exact,1.0,7.335147718661952e-16,1.0,1.7070182017656813e-15
19,pretrained,2,pairwise,0.9478541943762038,0.1564374208602304,0.9496776428487566,0.15096706671465654
19,pretrained,3,exact,1.0,7.571054702122894e-16,1.0,1.812103651036163e-15
19,pretrained,3,pairwise,0.960923849294583,0.11722845522712709,0.961399627228578,0.1158011175349303
19,pretrained,4,exact,1.0,7.970779843735376e-16,1.0,1.7377413955461417e-15
19,pretrained,4,pairwise,0.9731232565310266,0.08063022901721222,0.9738024158610238,0.07859276039946256
19,pretrained,5,exact,1.0,7.314613539441297e-16,1.0,1.6621718504674003e-15
19,pretrained,5,pairwise,0.9796903679768244,0.06092889046542243,0.9789522712429365,0.0631431870028286
19,pretrained,6,exact,1.0,7.153889602480334e-16,1.0,1.6781996373001026e-15
19,pretrained,6,pairwise,0.9703805769483248,0.08885826761252247,0.9696726546519332,0.0909820341589188
19,pretrained,7,exact,1.0,7.49242223572459e-16,1.0,1.742710001846865e-15
19,pretrained,7,pairwise,0.977961921857463,0.06611424053618167,0.9798728269007471,0.06038152590756201
19,pretrained,8,exact,1.0,6.944877138402933e-16,1.0,2.054914973758103e-15
19,pretrained,8,pairwise,0.9708421615262827,0.08747351305727433,0.9748902494708697,0.07532925405798273
19,pretrained,9,exact,1.0,7.336809488668078e-16,1.0,1.994326696011928e-15
19,pretrained,9,pairwise,0.9738877597782347,0.07833672218839638,0.9768465107513798,0.06946046593980605
19,pretrained,10,exact,1.0,6.556068506129466e-16,1.0,1.7867885743943775e-15
19,pretrained,10,pairwise,0.9753394954734378,0.07398151588212284,0.976032818771071,0.07190154149349029
19,pretrained,11,exact,1.0,7.143030232020765e-16,1.0,1.9272481242603682e-15
19,pretrained,11,pairwise,0.990070081419415,0.029789747997710947,0.9904093171159426,0.028772042082790803
19,pretrained,12,exact,1.0,6.2250844795966325e-16,1.0,1.6218853139140263e-15
19,pretrained,12,pairwise,0.9507328296701113,0.14780151304471978,0.9511072929534647,0.14667813200826962
19,random_control,0,exact,1.0,7.710911161221717e-16,1.0,1.9684607310523435e-15
19,random_control,0,pairwise,0.9512738871077696,0.14617834580389577,0.9427714198827744,0.1716857446073037
19,random_control,1,exact,1.0,7.618334140121457e-16,1.0,1.9093449156763953e-15
19,random_control,1,pairwise,0.9725855357117124,0.08224339488272865,0.9662566342287593,0.10123010102607724
19,random_control,2,exact,1.0,7.486088393373537e-16,1.0,1.825395028449589e-15
19,random_control,2,pairwise,0.9611841936906179,0.11644741978185873,0.9711247844000658,0.08662565087433904
19,random_control,3,exact,1.0,7.170778943140217e-16,1.0,1.800364349737289e-15
19,random_control,3,pairwise,0.967515425135692,0.09745372186363158,0.9696432025068336,0.09107038507419121
19,random_control,4,exact,1.0,6.682296887990517e-16,1.0,1.844653348577011e-15
19,random_control,4,pairwise,0.9581399303343561,0.12558020160132502,0.9562306697997782,0.13130798180160733
19,random_control,5,exact,1.0,6.842591460770467e-16,1.0,2.001785946813407e-15
19,random_control,5,pairwise,0.9637771530283822,0.10866854628451013,0.9627510085701942,0.11174697184469551
19,random_control,6,exact,1.0,6.83979802037286e-16,1.0,1.8790378731533877e-15
19,random_control,6,pairwise,0.9712491846746869,0.08625245186845455,0.967650928431087,0.09704720762642359
19,random_control,7,exact,1.0,6.062959690669707e-16,1.0,1.680578993288881e-15
19,random_control,7,pairwise,0.9720745438502895,0.08377636538413451,0.9689240902662277,0.09322772706703593
19,random_control,8,exact,1.0,5.938287860521774e-16,1.0,1.881170827846027e-15
19,random_control,8,pairwise,0.9782401579949591,0.06527953186054623,0.9749724231660366,0.07508273270852645
19,random_control,9,exact,1.0,6.857842708090624e-16,1.0,2.1606153395374254e-15
19,random_control,9,pairwise,0.9764008840752972,0.07079734537142536,0.9747063091231717,0.0758810811918617
19,random_control,10,exact,1.0,6.445685219255757e-16,1.0,2.2483026364859885e-15
19,random_control,10,pairwise,0.9592294345299403,0.12231169734150171,0.9522535109685527,0.1432394700968871
19,random_control,11,exact,1.0,6.709238774493202e-16,1.0,1.8986627295098502e-15
19,random_control,11,pairwise,0.9723202192948924,0.08303934653587122,0.9666939477125803,0.09991816269676848
19,random_control,12,exact,1.0,6.452980821747755e-16,1.0,2.0050173745660954e-15
19,random_control,12,pairwise,0.964241099026468,0.10727670073053257,0.962786388480001,0.11164083392900971
