variant_name,layer_index,probe_name,probe_family,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,0,exact_r1,exact,1,776,0.0,5,0.5343333333333333,0.016471777209653034,0.5263888888888889,0.04694567716987658,0.5347222222222222,0.039589424482608965
pretrained,0,exact_r16,exact,16,12386,0.0,5,0.5730000000000001,0.02196588263648881,0.49444444444444446,0.06428770450573955,0.55,0.03234948527458921
pretrained,0,exact_r2,exact,2,1550,0.0,5,0.5653333333333334,0.021981684294986224,0.4861111111111111,0.04364515656241854,0.5388888888888889,0.015987311712807453
pretrained,0,exact_r4,exact,4,3098,0.0,5,0.5678333333333333,0.022240790853244784,0.5111111111111111,0.023344078213849463,0.5222222222222223,0.009054447785003698
pretrained,0,exact_r64,exact,64,49538,0.0,5,0.5688333333333333,0.021037334537541676,0.4736111111111111,0.05542519427565253,0.5541666666666667,0.0165796338698796
pretrained,0,exact_r8,exact,8,6194,0.0,5,0.5695,0.02506657801402762,0.5069444444444444,0.04473645391224003,0.5347222222222222,0.023549756885851633
pretrained,0,pairwise,pairwise,64,401986,0.0,5,0.8476666666666667,0.02311955641635214,0.5222222222222223,0.06881660634354164,0.5611111111111111,0.026168671779745533
pretrained,0,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.0,5,0.9481666666666667,0.019368502494743586,0.47638888888888886,0.025797466140287086,0.5291666666666667,0.017291527219428823
pretrained,0,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,0,triadic,triadic,87,401246,0.0,5,0.9435,0.014617816374395836,0.5069444444444444,0.052658857250357995,0.5430555555555556,0.022715871158050183
pretrained,1,exact_r1,exact,1,776,0.0,5,0.5693333333333334,0.0175039678041548,0.4763888888888889,0.05210647633973354,0.5458333333333333,0.02803698505303662
